comentario;titulo;etiqueta
Funciona, con potencias pequeñas, no cumple lo que dicen sus especificaciones técnicas.;No da potencia.;negativo
Perfecta compra. Funciona a la perfeccion y es muy sencillo conectar y configurar. Muy recomendable y muy comoda para trabajos de edicion.;Tableta grafica Huion;positivo
No es como se muestra en la imagen, el color de la tela es muy muy apagado.;Decepción;negativo
No me llego el paquete de este articulo;Perdida;negativo
Se escapa el aire por las endiduras de la tapa con lo cual no funciona adecuadamente. Tendré que sellarlo , lo que no corresponderia al cliente.;Poco práctico. Hay que utilizar k;negativo
Diseño estupendo, pero solo resisten un golpe. Lavar y secar en lavavajillas, no en fregadero;Comprar varios pack;negativo
Encaja perfectamente en el móvil.;Buena;positivo
Muy buen producto, bastante grande para diversos tamaños y perfecto para mantener la nevera limpia y la comida libre de bacterias.;Perfecto!;positivo
Las he usado para instalar ram en un mac mini 2018 y ha sido muy útil. Más que útil son indispensables por su calidad, precisión y facilidad de uso.;Indispensables;positivo
Sres : lo pedi para no molestar a la familia con el volumen de la TV y lo que resulta es que no solo casi no rebaja el sonido sino que ademas se producen otros ruidos que molestan enormemente al oido.A los Sres de Amazo decirles que no devolvi este aparato porque el envoltorio llego muy deteriorado .En general NO LO RECOMIENDO.;No es lo que esperaba;negativo
Un juego interesante para los menores. Mi nieto está contento con este artículo y ya me está pidiendo otro. Estupendo;Juego Robinson;positivo
Este libro no está mal, pero es un poco básico, y no está justificado en mi opinión el precio que tiene. Por menos dinero, he encontrado libros tanto en español como en inglés con mejores fotografías y técnicamente más detallados y claros. Por tanto, no le veo buena relación calidad-precio.;Bastante básico;negativo
No puedo adaptarlo al mando que tengo antiguo, no se corresponde con el modelo que pedí, y no puedo hacer nada para adaptarlo;No puedo adaptarlo;negativo
Lo compré por el precio y la variedad de frutas que trae pero al recibirlo comprobé que el plastico se ve que es malo y el velcro también justito de calidad. Nada más abrirlo, pegamos cortamos varias frutas y en una de ella el velcro se despegó de la fruta, por lo que pega más el velcro que el adhesivo. Esta bien teniendo en cuenta que la calidad es bastante poca;Calidad muy justita;positivo
Mal. Esta tan turbia que casi no se ve la lava. Envio correo al vendedor y no contesta. Eso si, llego antes de la fecha estimada de entrega.;Cliente Amazon;negativo
La casa es muy pequeña y se desmonta todo el rato;No me convenció;negativo
Tras 6 meses de uso el producto ha fallado. El producto mientras funcionó era bastante correcto, tenía buen sonido y es cómodo de usar, pero la duración de los auriculares no compensa su precio.;Muy poca fiabilidad.;negativo
Es un producto central, no hace nada de ruido y la luces led crean un ambiente muy acogedor. Le he comprado junto con aceites esenciales puros y el olor de la habitación ha cambiado en 5 minutos. Lo recomiendo totalmente. Compraré más para el resto de la casa y para regalar, lo garantizo!!;Fantástico!!;positivo
Queda muy bonito y se pega muy bien, es como viene en la foto;Bonitos;positivo
Buen producto cumple con su cometido.;Bueno.;positivo
Para pescado no sirve.;El pescado se adhiere;negativo
Es un buen producto. Mejor que cualquier champú volumen de supermercado y algo más barato que los de peluquería. Deja el pelo suelto y brillante.;Buen champú volumen;positivo
Muy buen producto, bien fabricado. Tal y como viene descrito en la imagen. Se lo ve robusto para las tareas mas exigentes. Calidad y precio de 10.;Buen Sargento;positivo
Como no podía ser de otra manera en una marca reconocida, encaja perfectamente en su alojamiento y hace su función correctamente.;Buen producto de una marca reconocida.;negativo
Compré el producto hace 2 meses y aún sigo esperando... Vendedor para nada recomendable;Vendedor nada recomendable;positivo
Se lo compré a mi hija porque rompió su anterior smartphone. Yo no quería comprarle uno muy caro para que le pasara lo mismo. Para lo básico está bien (Whassap y redes sociales). Lleva poco tiempo usándolo, por lo que no puedo decir nada más.;Muy básico pero muy buen precio;negativo
Es muy práctica para una carpa, pero es pequeña.;Aceptable;neutro
Los materiales parecen de buena calidad. Cubre muy bien y al ser una marca reconocida y con homologaciones de impacto seguro que protege muy bien. Pero se empañan enseguida.;Buena calidad de pantalla.;positivo
En cuanto metes un par de tarjetas (DNI y Tarjeta Sanitaria) en las ranuras porta-tarjetas de la funda, la cinta de cierre magnético deja de enganchar correctamente la tapa, por lo que ésta se abre y deja de cumplir su función principal: Proteger la pantalla del móvil. Una lástima porque la funda es muy bonita ¿De verdad cuesta tanto probar la funda antes de fabricarla en serie? El control de calidad debe brillar por su ausencia. Producto devuelto.;Decepcionado;negativo
Es muy cómodo y ajusta bien aunque quiza una con una talla más hubiese estado mas cómoda en la parte donde abrocha pero por lo demás genial.;Contenta;positivo
al cabo de varios usos se deforma y se levanta la tapa durante la coccion;lo necesitaba;neutro
Son todas las lupas iguales, y no aporta nada tener 5. Además, no parecen muy robustas. Lo he devuelto antes de que lo vieran los niños;Son todas las lupas iguales, y no aporta nada tener 5;negativo
El accesorio para limitar el corte de rompe fácilmente. Por otra parte lo he mojado varias veces y sigue funcionando muy bien;Bien bien, esta bien;negativo
Producto deficiente, lo esperaba de mayor calidad;Deficiente;negativo
la termine por no dejarla a medio nada mas;no me gusto;negativo
Lo elegí basándome en los comentarios (todos con 5 estrellas), sin embargo he probado ambas lentes y la macro no hay forma de que funcione, salen todas las fotos borrosas. Me esperaba mayor calidad.;No funciona correctamente;negativo
El teclado muy bien. La funda no me gusta. Es un plástico de mala calidad. Lo veo en mi opinión feo.;Teclado inhalámbrico.;negativo
ha venido sin la tornilleria para montarlo. era un regalo de cumpleaños para mi hija. 4 días tarde e incompleto. un desastre.;incompleto y tarde;negativo
Me ha decepcionado, el diseño de la tapa es nefasto, está torcida y por un lado queda más larga que por otro. La parte de atrás tampoco se salva, tiene unos acabados muy malos. No tiene una buena relación calidad-precio, debería costar menos o ser mejor por lo que vale.;No recomendable;negativo
0 problemas con el juego, es un juegazo el problema viene con amazon el juego en vez de llegar el día de salida me llego 5 días mas tarde, amazon cada vez a peor con los envios;El juego es una autentica pasada el servicio de entrega de amazon NO;negativo
La recibi ayer y me faltan dos letras de la L !!!! Pues encima me hacen muchisima falta porque mi negocio lleva las tres L y solo tengo una!!!! Que hago??;Me hace falta 2 letras L;neutro
Lo mejor la estética y el control remoto, potencia de aire suficiente, el modo noche un coñazo para y arranca constantemente haciéndose molesto el ruido..;Relación calidad precio;positivo
Funciona bien, pero no es nuevo. Llegó protegido por plásticos pero en una bolsa de plástico.;Funciona pero no es nuevo.;negativo
Muy bueno, completo y a un precio inmejorable! Tampoco es que lo usará muchas veces, pero los dos cambios de resistencias q hice , use las piezas y van muy bien para estabilizar las resistencias y colocar el algodón. Recomiendo su compra sobre todo por el precio;Buena compra;positivo
Es una mierda de cristal, se queda como despegado por los 4 lados, no lo recomiendo;De mala calidad, no lo recomiendo.;negativo
Ojo, comprad solo la funda de color negro, ya que las de colores se terminan desgastando y quedan fatal. La negra en cambio no se desgasta. En cuanto al cristal templado, si bien queda perfecto y encaja muy bien, al cabo de varias semanas (en mi caso 3-4 semanas) se mete polvo entre el móvil y el cristal templado obligándote a quitarlo y por lo tanto tener que tirarlo. Una pena porque la funda me gusta mucho, pero el cristal es un gran fail.;Genial la funda, muy mal el cristal;positivo
Funciona perfectamente. Pegado en el cristal lateral de mi coche, soporta perfectamente mi Samsung Galaxy S5 sin ningún problema. Muy recomendable.;Buen producto a buen precio.;positivo
Perfecto repuesto para mi Audi 4 a un buen precio;Muy bien;positivo
"En 10 días, y sin haberlas usado más que 4 entrenamientos, ya podéis ver en las fotos el problema...Como siempre en este tipo de marcas, ahorrar unos céntimos en coste de producción da como resultado costuras, u otras partes, de mala (o malísima) calidad. Como podéis apreciar no hay nada roto, simplemente las tiras de velcro de una de las rodilleras se descosieron como si fueran papel; al quitármelas sin hacer apenas fuerza enganché con el dedo el velcro y salió como quién pasa una hoja del periódico. Una lástima, porque, siendo un producto tan específico, a las personas que nos gusta este tipo de actividades nos da igual pagar un euro más por una buena y sólida costura. La pena es que no suelo subir opiniones, y en su momento no pensé en subir esta crítica, y apañarme llevándolas a un costurero. El problema ha sido cuando hoy, día 5 de febrero, habiéndolas recibido justo hace un mes exacto y con apenas 2 entrenamientos por semana, me ha pasado exactamente lo mismo en la otra rodillera, y sinceramente me ha cabreado muchísimo. Una puede ser casualidad, que las dos tengan el mismo defecto es una seña de la poca calidad de este producto. Por ello, y por ser un apasionado del levantamiento de peso y conocer lo que buscamos en estos productos, NO RECOMIENDO este producto a nadie por su baja calidad más que evidente.";Como siempre, la ley del mínimo esfuerzo;negativo
Tras tres años de uso los adhesivos se están despegando. No recomendado por la calidad de los materiales.;Gama baja G-Shock;negativo
El juego es muy bonito y tal, pero jugarlo en la Switch no merece la pena porque el framerate no es muy estable que digamos;Framerate decepcionante;negativo
Buena calidad.Cristal auténtico.Precioso ,aunque pequeño.La cadena muy fina. Lo recomiendo.;Collar elegante y discreto;positivo
El espejo es más pequeño que la pantalla y no pega bien.;Tamaño;negativo
No noto mejoría con ellas y eso que estoy haciendo dieta,no he bajado de peso casi nada.;No me gustan;negativo
Son cómodas pero se generan malos olores, he dejado de usarlas.;No está mal;negativo
En mi opinión no sirve para aspirar a un bebé resfriado no quita nada. Es mejor de forma tradicional para aspirado los padres. Lo he devuelto por no servir;Marian;negativo
La primera pantalla me duró 1 día, con un leve golpe se quebró la pantalla. La segunda pantalla se me ha despegado al segundo día y no hay manera de volver a pegarla. Producto deficiente, NADA RECOMENDABLE;Se despega con facilidad, pantalla poco resistente;negativo
La camisa me gusta pero es demasiado pequeña, no corresponde con la descripción del tallaje. Se debe comprar una talla más pues la camisa es de corte muy ajustado. Está fabricada en China.La tuve que devolver pues me apretaba por la barriga.Es para personas delgadas.;Pequeña;negativo
Un libro de fácil lectura pero con un mensaje profundo. Dan ganas enseguida de poner en práctica todos sus consejos, o mejor dicho, sus enseñanzas. Muy recomendable. Para todos y especialmente para aquellos que pasen por un momento de incertidumbre o confusión o para aquellos que busquen otro sentido a su vida. Gracias.;Llega en el momento adecuado;positivo
SOLO sirve como lector de unidades de discos..Quise clonar mi disco duro por otro solido demás capacidad y más rapido y acabe formateando el disco solido y teniendo que introducir windows y todos los drivers y actualizaciones,,, Hay que tener mucho cuidado NO funciona OFF LINE ES mentira,,,,sin ayuda de PC ...La luces apenas se ven sino estas arriba ni ningun pitido sonoro te advierte del comienzo de ninguna operación aún siguiendo los pasos del manual...etc,,,,,, muchos inconvenientes DEBES TENE UNA COPIA DE RESPALDO ANTES DE NADA,,ETC,,,,;NO VALE PARA NADA SI , ES EL PEOR PRODUCTO QUE HE COMPRADO DESDE QUE ESTOY EN AMAZON,;negativo
Se moja la cara y le entra agua en los ojos a mi bebe. No cumple con su función. No lo recomiendo.;no cumple su función;negativo
La descripción del producto es acorde a lo que te ofrecen.;Descripción acorde al producto;positivo
La luz no es blanca. Es amarilla. No se corresponde la descripción del producto con la realidad.;Luces blancas que en realidad son amarillas;negativo
Justo lo que necesitaba y rápido como siempre con prime;LO QUE NECESITABA Y RÁPIDO;positivo
Instrucciones muy mal detalladas. Calidad de la madera mala. Si no pones todas las planchas se abre sola. Relacion calidad precio mala.;Decepción;negativo
Perfecto y fácil de colocar. Solo que los enganches están por debajo de los controles y la verdad es que es algo molesto sobre todo si manejas con las pinzas y no solo con los pulgares.;Bien para el manejo con pulgares.;positivo
No lo recomiendo el liquido se pone negro y eso hasta daño puede causar;No lo recomiendo;negativo
Un teléfono ajustado a la definición. Sencillo y práctico. El timbre de llamada un poco bajo;Buen telefono;negativo
Buena visión pero un poco incómodas;Un poco incómodas;positivo
No funciona bien y el sonido es desagradable y de muy mala calidad. El Sensor no se apagaba nunca .;Horrible y no funciona bien, no va el sensor;negativo
mejor de lo que esperaba;super chulo;positivo
Buena calidad . Colores muy vistosos y alegre . La recomiendo. Queda muy bien acoplada, lo único por poner alguna pega es que no está muy Imantada y se abre con facilidad;Funda iPad;positivo
Desafortunadamente he apuntado con el aparato a un perro pero este lo único que ha echo es mirarme a mí.;PROBADO y los perros no se inmutan;negativo
No tiene nada para atarlos No es lo que pone en la foto Los globos si son bonitos y de calidad;BIEN AUNQUE TIENE UN PERO...;negativo
llevo un mes utilizandolo y siendo cuidadoso y primero una y despues la otra se me despegaron-rompieron las dos arandelas de sujeccion a pesar de no sujetarlo con ellas nunca pues esta en garaje;fragil;negativo
Una gran compra sin duda, solo que con la tapa cerrada pierde humo por las juntes, però eso no impide hacer el ahumado correctamente Encantada con mi barbacoa;Buena barbacoa;positivo
Muy buen precio, pero el envio muy lento tardo bastante, por lo demas todo ok;Cumple con lo que se describe;positivo
Carcasa parece muy buena. Pilas no accesibles para cambiar.;De cuatro, dos de ellos me han durado semanas funcionando correctamente.;positivo
Es agradable al tacto, tiene unas pestañas de sujeción que no aguantan. No es aconsejable;Tacto agradable.;negativo
Le doy solo 4 estrellas porque trae menos conectores de los que se necesitan, por lo demás muy bien;Funciona bien;negativo
Mi bebé de 1 mes no lo ha querido;A mi bebe no le ha gustado nada;negativo
Aporta una luz cálida ideal para el salón. La regulación de la intensidad funciona perfectamente y la intensidad máxima que proporciona es muy buena. Incluso superior al de una bombilla incandescente de 100W.;Luz cálida, intensa y regulable;positivo
El tamaño del producto es perfecto. Encaja perfectamente en el s9. La sensibilidad del táctil es la correcta. Lo pésimo es que la curvatura de los laterales no es la correcta. Quedando despegado sobre 1mm el cristal de la pantalla. Además es donde lleva el adhesivo y al no pegar completamente se mancha de pelusa toda la zona y queda muy feo.;Producto mejorable;negativo
Se desliza hacia abajo todo el rato, y esta hecho de material de baja calidad. No lo recomiendo para nada;Se desliza hacia abajo todo el rato;negativo
Cable de muy buena relación calidad - precio. Estupendo para cualquier instalación. Se puede adquirir con toda confianza para todos.;Buena calidad;positivo
"El Pie no es lo suficientemente alto para una TV de 22"" Solo es Valido para TV pequeñas o pantallas de PC pequeñas ya que por la altura no da suficiente como para poderlo utilizar se queda corto.";"NO SIRVE PARA TV DE 22""";negativo
No está mal, por el precio que lo venden no está nada mal si solo te bebes un café. Me esperaba más capacidad, hace su función, yo le echo leche desnatada y con los 2 adaptadores me hace espuma. Hace una espuma bastante espesa, si no se quiere tanta el adaptador básico es suficiente.;Está bien...;negativo
Vino doblado y sucio. Es demasiado grande para poder llevarlo a ningún sitio. Sólo para lectura en casa;doblado;negativo
"Por la posición que adopta la pierna, el talón tiene tendencia a separarse de la férula no consiguiendo así un buen estiramiento. Para que quede bien apoyado en la férula hay que apretar mucho las cinchas y a los pocos minutos es molesto porque se corta la circulación. Imposible dormir con ella; práctica mientras se está por ejemplo sentado en un sofá viendo una película...";Estefanía C.;negativo
Me han mandado la V3, que no me sirve. TP-link debería poner como otros vendedores si es la V2 o la V3, porque si no ponen nada se entiende que es la primera versión....la que me es compatible. Devolución en curso.;TP-link me ha mandado la V3;negativo
Lo llevo poco tiempo para poder opinar en condiciones, pero lo que visto me parece bien y de momento parece que es lo que queria , lo que se si tiene usb o es que no lo encuentro;ME GUSTA;negativo
Ha llegado muy rápido. Las instrucciones del los juegos no están en castellano;Llega enseguida;negativo
Pega mucho, buena compra;Buena calidad;positivo
El asa se esta empezando a rajar en menos de 6 meses de uso, es cierto que la uso a diario y que llevo portatil y apuntes pero al menos que dure un año es lo que esperaba.;Calidad mejorable;negativo
Simplemente el mejor pendrive que he tenido nunca, muy cómodo y con velocidades sostenidas según la especificaciones.;Excelente;positivo
TODO BIEN, ES LO QUE SE ESPERABA, NINGUNA NOVEDAD, ES MUY FACIL COMPRAR, ENTREGA SEGÚN LO ANUNCIADO EN LA WEB;TODO BIEN;positivo
Tal y como se ve en las fotos;10 de 10;positivo
Me ha gustado y estoy contento con la compra, solamente que después he visto ofertas que con poco más de coste venían con hilo. Pero si ya se tiene el hilo totalmente recomendable la compra.;Bien;positivo
grande, pense que iba a ser de peor calidad, pero no esta nada mal, para los juguetes del niño de la playa y poder incluso sacudirlos en la bolsa esta genial. Muy comoda para llevar...creo que fue lo mejor de la bolsa.;mejor de lo que esperaba;positivo
Muy incómodo a la hora de ponerlo. La cuña se queda muy alta y no tiene antideslizante;Lo devolví;negativo
Las he utilizado para reponer las cuerdas rotas de mi guitarra, ahora son de mejor calidad;Musica para mis oidos;positivo
He comprado esta pelota por indicaciones medicas, necesito realizar ajustes a mi postura y este pelota ayuda a realizar los ejercicios correspondientes. De muy buena calidad, la bomba de pie es vital para poder inflarla rápidamente. Muy buena calidad/ precio;Excelente para ejercitar!;positivo
Me encanta comprare más;Todo en general viene muy completo;positivo
Muy buen libro pero me llegó algo deteriorado junto a otros objetos que compré. Muy rápido el transporte pero muy poco cuidado.;Buen libro. Mal transporte.;positivo
Lo compre para regalo a un niño pequelo y esta feliz con el, le llama mucho la atencion y quiere comerselo, lo normal en su tiempo, le mantiene activo y le motiva a no parar y prestar atencion a todo lo nuevo que descubre , colores , sonidos.;Entretenido y suave;negativo
No sé para qué ponen una lista para elegir color si luego te mandan los que les parecen. Pedí Negro/blanco y me ha llegado blanco/blanco;No leen los pedidos;negativo
Un producto genial. Perfecta la relacion calidad-precio.;Lo mejor, la limpieza y la comodidad.;positivo
No pega el protector, por lo que no se puede utilizar el teléfono adecuadamente;Mala;negativo
Un típex, lo mismo lo hay en las librerías.no vale la pena comprarlo por aquí.;No vale la pena el resultado;negativo
Artículo en perfectas condiciones y envio rápido;Telefono movil bq;positivo
es un buen producto y protege el móvil por completo, pero cuando intentas cambiar la carcasa por otra las patillas pequeñas de los extremos que sirven de anclaje se rompen y ya no la puedes volver a poner.;buen producto;negativo
me encanta, no suena apenas, es muy facil de montar, la verdad es que no le he encontrado ninguna pega.;perfecto;positivo
Para niños esta bien. No tiñe mucho. Así que para adultos nada.;Para niños;negativo
El conector de AC no es europeo.;Conector a AC no europeo;negativo
la carga de la bateria despues de usarlo la primera vez no funcina, ademas de necesitar un adaptador para enchufe europeo.;divertido pero un solo uso;negativo
la calidad precio quizás merezca la pena ya que no encontrábamos ningún nórdico en blanco tan barato pero la funda es bastante mala y la funda no durara mucho tiempo. quizás merezca la pena gastarse el dinero en alguna mejor.las fundas de almohada no están mal;calidad precio 3/5;negativo
No es compatible con cualquier funda... con la que tenia mi iphone 6s hacia que se levantara en los bordes. De no ser por ello debo decir que el tacto es indistinguible del cristal.;Muy buen producto, pero ojo con la funda que se utilice;positivo
Es práctico y ligero, pero le falta fuerza es muy justito de aspirado, yo lo usa para recoger lo que ensucio cuando taladro y para eso bien;Muy liguero poca fuerza;positivo
Tal como se indica, van bien . Podria tener hebilla para recoger cinta sobrante;Buen producto;positivo
Protegen perfectamente los ojos, gracias al ajuste de las almohadillas. El tratamiento antiempañamiento, realmente extraordinario. Incluso con ejercicios de alta intensidad con mucha sudoración, la lente permanece seca.;Protección y antiempañamiento;positivo
Color brillante, pero no es para nada Long lasting, es una barra de labios de duración estándar;No es fijo;negativo
Es muy parecido a los GSHOCK de casio, el materiel es claramente peor pero sin tocarlo y sin ver el nombre muy similares.;Se parece muhco a su original GSHOCK;negativo
Excelente móvil relación calidad precio. Envío muy rápido;Económico y bueno;neutro
Simplemente correcto y de una calidad normal. Material endeble.;MUY BÁSICO;neutro
Es una secuencia de cambio de color. Es divertido, pero no tiene ninguna utilidad. Me gustaría que el cambio de color fuese con la temperatura del agua;Luz;neutro
He comprado esta agenda para regalarla a mi sobrina de 14 años y es realmente preciosa! Recomiendo;Muy bonita;positivo
El sujetador está bien en mi opinión, pero si que es verdad que talla grande. Yo cogí la S y aun así tengo que recoger los tirantes al máximo de modo que con la mayoría de camisetas y vestidos me asoma por debajo quedando muy feo. Por otra parte, da la sensación de resultar demasiado cálido para los meses de verano. Y otra pega es que destiñe..al menos el negro.;calidad precio aceptable;negativo
Esta bien aunque la letra es muy pequeña pero es util;Diccionario;positivo
Pésimo el juego la rapidez del servicio lo k vale la pena;Pues 2019;negativo
Fantásticos lapices. Los más duros dan la sensación de rascar el papel, pero los blandos tienen una muy buena sensación al trazo.;Buena sensación al trazo;positivo
Aunque en un principio estaba muy contenta con la compra, se rompieron las costuras de la cinturón a los 15 días de estrenarla.;Mala calidad;positivo
Corresponde al las condicones que vi antes de hacer la compra o pedido. Estoy muy contento con el producto ya que me hace el sevicio buscado.;Todo conforme a lo descrito ecepto el collar y el soporte de movil que aun no he recibido, cuando lo reciba opinare.;positivo
Aún estoy esperando que me llegue el lunes día 15 deberían de haberlo entregado;Sin comentarios;negativo
Los balones de chocolate son pequeños pero hacen su papel. Están muy buenos.;Bombones fútbol;negativo
Resulta incomoda de manejar para realizar medidas a otras personas. Si tuviese que volver a comprar una nueva cinta esta no estaría en mi lista;No cumplió mis expectativas;negativo
Muy bonita, da el pego. Pero se abre a oido 🤷‍♂️;No es segura;negativo
Es realmente pequeña pero es bonita y la música se escucha perfectamente. Aunque la manivela para dar musica hace un poco de ruido;Bonita;positivo
Lo compré para un regalo y todavía no lo he entregado, aunque sí lo he probado para ver si funciona (y no decepcionar al niño al que se lo voy a regalar cuando se lo dé). Sí funciona, pero la calidad de los materiales es muy pobre, además de que en algunos sitios, el cangrejo tiene como rayazos negros (lo que me hace sospechar que no es totalmente nuevo).;Regular;negativo
Tiene unos agujeros muy pequeños para los tornillos. NO SE AGARRA CON PATEX. Al final, taladro y sujecciones con alcayatas de gran tamaño.;Ha costado colgarlo;negativo
Me ha encantado el producto. Es muy estable y aguanta muy bien;Ideal para todos los móviles;positivo
La niña se va hacia adelante, no es posible dejarla ni un segundo sola en el agua;Fatal;negativo
El producto es de alta calidad y estoy muy contenta porque también lo recibí correctamente. Lo único, comprobar el modelo de pc que utilizas porque hay algunos trackpad que son más grandes y yo por ejemplo tuve que cortar un pie a una de las dos siluetas.;Alessia;positivo
Te dicen que la batería tiene una capacidad ( en las especificaciones y la información que ves en Amazon ) y despues ves que la bateria tiene otra capacidad muy diferente. Eso si el servicio de devoluciones de amazon un 10! Perfecto.;Los devolví !;neutro
Se oyen muy bien y no distorsiona para basa el sonido;Estupendo;positivo
Perfectos y muy comodos;Buen material;positivo
Tiene bastante potencia de succión, pero a mi no me ha funcionado para eliminar los puntos negros. Ni anunque lo utilices nada más salir de la ducha, que se supone que están los poros abiertos.;Este tipo de aparatos no funcionan para eliminar puntos negros;negativo
Design muy bien. Muy ligera que la hace frágil.;Hermosa pero fragil;negativo
Buen precio pero mirando la fecha de caducidad está caducado, por eso el precio de venta;PRECIO;neutro
Las zapatillas no llegaron todavía;No llegaron las zapatillas;negativo
Muy útil para los juegos, comodidad perfecta y luces brillantes. Compatible para móvil, pc, PS4 y aún más. Yo juego en PS4 y el sonido es excelente, se recomienda por su calidad.;Muy cómodos;positivo
Esta bien pero se ve un poco torcido tampoco es tan blando. He pedido otro más gancho peso 128 kilos.;Casi me va bien pero pedí otro más ancho no estoy cómodo. Pero será por mi peso...;positivo
Cuidado con ciber acces digital en Amazon, son estafadores. No pagues nada a dicha empresa, el producto no te llega;Jaume;negativo
Cogí las zapatillas en enero y an durado hasta julio. La plantilla del derecho se a gastado de una forma descomunal en la parte del talón quedando totalmente para tirarlas a la basura.;Plantilla desgastada en pocos meses. Decepción total.;negativo
completo pero solo uso la red y la esponja y sin montar el palo.;No lo uso;negativo
Muy mal x parte de Amazon x vender productos usados y muy usados. Me lo he quedado xq me urgía, de no ser así, lo habría devuelto, ya q venía el amplificador con muchos roces de uso, plástico q envuelve quitado, etc.;Amazon vende los amplificadores muy usados;negativo
Ha cumplido con todas las expectativas;Excelente producto;positivo
Hace su función. Podrían hacerla de otros colores que no sean plateado...;El color no me gusta;negativo
El bolso es demasiado ancho, parece un neceser;Normal;negativo
No encaja bien los extremos de los cables para regularlo. El anclaje es más pequeño que el extremo del cable.;Falla anclaje de cables;negativo
Lo dejaron en una tienda en mi misma calle de la que no soy clienta y ni los conozco. No supe que lo tenían ellos hasta que consulté la situación del envío y como era sábado y la tienda no abre en lunes tengo que esperar a mañana para ir a recogerlo (si efectivamente me confirman que tienen los paquetes porque me ha sucedido lo mismo con otros dos pedidos). Además, el jueves por la tarde que estaba prevista la entrega dejé a mi hijo de guardia toda la tarde. Por lo visto no insistieron mucho. Como no he visto el producto no puedo valorarlo y tampoco es fácil quejarse de la entrega si no es por este medio.;Problemas con el envío;negativo
Por el precio que incluye dos protectores de cristal y funda de silicona no está mal, lo que pasa que desde mi punto de vista la funda es un poco gorda. Por lo general, todo bien.;Buena funda, un poco gorda;positivo
La perdona q lo usa esta contenta con el.;Buena calidad precio;positivo
El producto está bien , pero su tamaño es más pequeño que el deseado.;Hierros para chimenea;negativo
La impresora los acepta.Lo unica que va a aparecer un mesaje diciendo que no son los originales,con dar ok se soluciona.No es tan negro como la tinta original,pero para imprimir papeles para estudiar va de sobra;Perfecto;positivo
Nunca me llego el producto;Llevo esperando más de un mes;negativo
ES UNA PORQUERÍA, LO ÚNICO QUE TIENE ES LA APARIENCIA LUEGO ESTA HECHA DE UN PLÁSTICO VULGAR, Y UN NIÑO DE TRES O CUATRO AÑOS NO LA PUEDE HACER SONAR;LA APARIENCIA;negativo
No acaba de convencerme, bateria 20h justas, la pantalla refleja mucho la luz. la usabilidad no me acaba de convencer.;Me a defraudado;negativo
Prenden rápido, apenas tienen olor y se mantienen encendidos todo el tiempo de uso. He dejado de usarlos porque en las dos últimas cajas que he comprado venian la mayor parte de los palos partidos. Deberían revisar este tema ya que muchas veces uno de los trozos se queda tan pequeño que no se puede aprovechar.;Están bien;negativo
Es muy pequeño, mala compra. Aquarius U2;Fatal. Pequeño;negativo
He pedido el set que viene con 7 figuritas y me ha llegado el de 5, con la caja rota. Tramitando devolución y para la próxima vez lo compro en el Corte Inglés que tienen mejor oferta (25% de descuento en cheque regalo).;Incomprensible.;negativo
No me ha servido absolutamente de nada. No te quita las náuseas como promete y por lo que yo lo compré;Comprar para nada;negativo
van bastante bien, lo único que después de un par de usos se empiezan a deshacer por lo demas genial;Buenas pero se deshacen después de un par de vasos;positivo
Está bastante bien calidad precio. En algunos momentos parece que llevas un dodotis puesto pero está bastante bien.;Alivia el impacto;neutro
esta muy bien tal como se anuncia, calienta bien, hace su función, para calor en trapecio va muy bien, sirve para otras zonas;correcto;positivo
Recomendadísimo libro. Merece la pena encontrarse con testimonios así.;libro para tener siempre;positivo
Un poco flojete, debería ser más fuerte de sujección pero hace su función, poner la ducha en el está bien;Está bien;positivo
No es la misma que me venia con el coche y se nota la diferencia, esta es mas blanca amarillenta y la otra es azulada Viene golpeada por los lados y espero que no este fundida;Es Luz blanca;negativo
Muy malo. Ni refresca. Es un juguete;Una tontería;negativo
A mi hija le encanta. Está muy bien. El único inconveniente es que el lápiz echa demasiada agua y aunque no mancha a veces es poco preciso.;Vicky;negativo
Es una funda para los mandos de la Wii normal que no tiene nada especial. Quizás me hubiera gustado que especificaran que no tiene la parte que tapa el conector del Nunchuk, pero por el resto es igual que los originales.;Funda mando de Wii no original;negativo
Llevo una semana usando el altavoz y es una maravilla. El sonido es bastante bueno, de calidad en graves y agudos. La cámara es fácil de configurar con una calidad de vídeo de hasta 1080p. Además trae un usb adaptador para conectar la micro-sd a cualquier puerto usb. Puedes conectarte a la cámara desde cualquier lugar y tiene un sistema de alarma por movimiento que funciona bastante bien (te llegan incluso teniendo la app cerrada). Me decanté por una cámara de este tipo porque es realmente imperceptible. Tienes que fijarte muy bien y sólo lo harías sabiendo lo que es. Buena compra, sin duda.;Buena cámara y mejor sonido;positivo
Se despega a las pocas semanas;Se pega muy mal, no dura mucho;negativo
Los compré por las buenas opiniones, para probar otra marca que no fuera Dodot. Si bien es cierto que son muy suaves y me gustó que son más anchos en la parte del culete, por lo que recogen mejor y evitan fugas, no son muy absorbentes. Cuando lo cambias, después de solo tres hora, y tocas el pañal por dentro, se te moja la mano!!! No los volveré a comprar porque no me gusta la sensación de humedad que le dejan, pero es verdad que son muy suaves y no le dejan ninguna marca.;Pañales muy suaves, pero no son muy absorbentes.;negativo
No nos ha llegado el artículo y encima tenemos que estar esperando a que el vendedor realice el reembolso de momento más de dos semanas.;Pesimo;negativo
